Url,Title,Brand,Gender,Accords,Short Description,long Description,Perfumer,Top notes,Middle notes,Rating,Out of ,Total no of votes
https://www.fragrantica.com/perfume/Lanvin/Arpege-Pour-Homme-14.html,Arpege Pour Homme Lanvin ,Lanvin,for men,"vanilla,powdery,iris,woody,citrus,fresh spicy,sweet,soft spicy,earthy,warm spicy","Arpege Pour Homme  by  Lanvin  is a Oriental Woody fragrance for men.  Arpege Pour Homme  was launched in 2005. The nose behind this fragrance is Olivier Pescheux. Top notes are Pink Pepper, Bitter Orange, Mandarin Orange and Neroli; middle notes are iris, Nutmeg and Jasmine; base notes are Vanilla, Tonka Bean, Sandalwood and Patchouli. ","This is one of the latest fragrances for men by Lanvin. This perfume is completely balanced; interesting harmonies appear with different notes: pepper-like dryness of the top notes and waves of warmth find its way through it; opulent jasmine and ascetic cold iris; warmth of the base notes following the rich floral heart. Women may also like it, even though this is definitely a fragrance for men, very elegant and sophisticated. The main notes are: pink pimento, mandarin, bitter orange and neroli. The heart is composed of iris, jasmine, walnut and Latin American tea mate, while the base includes vanilla, Tonka beans, patchouli, Australian sandalwood. It was created in 2005.",Olivier Pescheux,"Pink Pepper,Bitter Orange,Mandarin Orange,Neroli","iris,Nutmeg,Jasmine",4.22,5,709
https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,Terre d'Hermes Hermès ,Hermès,for men,"citrus,woody,fresh spicy,aromatic,earthy,warm spicy","Terre d'Hermes  by  Hermès  is a Woody Spicy fragrance for men.  Terre d'Hermes  was launched in 2006. The nose behind this fragrance is Jean-Claude Ellena. Top notes are Orange and Grapefruit; middle notes are Pepper and Pelargonium; base notes are Vetiver, Cedar, Patchouli and Benzoin. This perfume is the winner of award  FiFi Award Fragrance Of The Year Men`s Luxe 2007 .","Terre d’Hermès: conceived in 2006 by Jean-Claude Ellena, Terre d’Hermès is a
metaphor for materials, a matrix that speaks of territory as well as matter, earth,
and roots.This vertically structured scent is based on an alchemy of wood, the
scent first introduces the gaity of orange, the bitterness of grapefruit and the
vivacity of pepper and of fresh spices. This “vegetality” flirts with the mineral
effect of flint and the coarseness of vetiver. Dominated by cedar, the fragrance
goes deeper with the sweetness of resins and the impalpable voluptuousness
of benzoin.",Jean-Claude Ellena,"Orange,Grapefruit","Pepper,Pelargonium",4.29,5,"12,374"
https://www.fragrantica.com/perfume/Azzaro/Visit-for-Women-30.html,Visit for Women Azzaro ,Azzaro,for women,"amber,woody,fresh spicy,warm spicy,white floral,rose,vanilla,aromatic,musky,citrus","Visit for Women  by  Azzaro  is a Floral Woody Musk fragrance for women.  Visit for Women  was launched in 2004. Visit for Women was created by Domitille Michalon Bertier and Olivier Polge. Top notes are Pepper and Orange Leaf; middle notes are Precious Woods, Rose, Indian Jasmine and Virginia Cedar; base notes are Tonka Bean, Benzoin, Amber and Musk. ","A year after Visit for Men, Azzaro launched the version for women in 2002. This is a fragrance that goes together with a red evening dress. Two flowers merge in the heart of the composition and bloom together: rose and jasmine, creating a classic mix. Delicate floral passion is followed by intense, woody accords with warm and mysterious notes of musk and amber.
Top notes: orange leaves, pepper.
The heart: Bulgarian rose, jasmine, cedar.
The base: musk, benzoin, Tonka bean, amber.
The perfume was created by Domitille Michalon and Olivier Polge in 2004.","Domitille Michalon Bertier,Olivier Polge","Pepper,Orange Leaf","Precious Woods,Rose,Indian Jasmine,Virginia Cedar",3.83,5,402
https://www.fragrantica.com/perfume/Hermes/Un-Jardin-Sur-Le-Nil-18.html,Un Jardin Sur Le Nil Hermès ,Hermès,for women and men,"citrus,aromatic,floral,fresh spicy,green,fruity,tropical,powdery,herbal,sweet","Un Jardin Sur Le Nil  by  Hermès  is a Floral Fruity fragrance for women and men.  Un Jardin Sur Le Nil  was launched in 2005. The nose behind this fragrance is Jean-Claude Ellena. Top notes are Grapefruit, Green Mango, Tomato and Carrot; middle notes are Bulrush, Lotus, Orange, Hiacynth and Peony; base notes are Musk, iris, Incense, Labdanum and Cinnamon. ","Un Jardin sur le Nil: composed in 2005, this is the second destination in this
impressionistic travel journal. A stroll in the garden islands of the Nile at
Assouan is the starting point for this new olfactory voyage.Green mango, lotus,
incense, calamus and sycamore wood are at the heart of this refreshing ode.",Jean-Claude Ellena,"Grapefruit,Green Mango,Tomato,Carrot","Bulrush,Lotus,Orange,Hiacynth,Peony",4.14,5,"8,693"
https://www.fragrantica.com/perfume/Lanvin/Arpege-6.html,Arpege Lanvin ,Lanvin,for women,"white floral,woody,aldehydic,fresh,powdery,aromatic,amber,yellow floral,floral,warm spicy","Arpege  by  Lanvin  is a Floral Aldehyde fragrance for women.  Arpege  was launched in 1927. Arpege was created by Paul Vacher and Andre Fraysse. Top notes are Aldehydes, Lily-of-the-Valley, Peach, Honeysuckle, Neroli and Bergamot; middle notes are Jasmine, Ylang-Ylang, iris, Lily-of-the-Valley, Coriander, Rose, Lily, Geranium and Camellia; base notes are Sandalwood, Amber, Vetiver, Musk, Benzoin, Vanilla and Patchouli. This perfume is the winner of award  FiFi Award Hall Of Fame 2005 .","This famous perfume was made by Andre Fraysse for Lavine home in 1927. The name was chosen by the daughter of the perfumer. Since she had been involved into music she chose name “Arpege”, i.e. music term arpeggio. The original 1927 formula incredibly corresponded to its musical term - the notes of perfume play their theme alternately. In 1993, the perfume was reconstructed and that was a successful work. The composition was mostly well preserved, but still that was second great perfume. Top notes are: bergamot, aldehide, peach, orange bloom, honeysuckle, orris. In the heart there are: rose, jasmine, ylang-ylang, coriander, sensitive plant, tuberose, violet, and geranium. The base consists of: sandal, vetiver, patchoulis, vanilla and musk.
The bottle is lovely, too. The beautiful figures on the black misted background representing mother and daughter (wife and daughter of the perfumer), who are getting ready for the ball.
In October 2009 the house of Lanvin presents Arpege 120, their popular fragrance created back in 1927, reformed in 1993. The fragrance is composed of such notes as aldehydes, peach, bergamot, orange blossom, honeysuckle, iris, rose, jasmine, ylang-ylang, coriander, mimosa, tuberose, geranium, sandalwood, vetiver, patchouli, vanilla and musk.
 New package is work of art director of the house of Lanvin - Alber Elbaz, whose main theme was mother-daughter relation, i.e. sketches of Jean Lanvin and her daughter Margaret, dressed in gorgeous violet dresses created in Parisian style. Lanvin celebrates 120 years of the house with sketched black flacon with golden details and pink hearts around mother and daughter.
 The new flacon of Arpege 120 has been available in two amounts, 50 and 100 ml, since October 2009.","Andre Fraysse,Paul Vacher","Aldehydes,Lily-of-the-Valley,Peach,Honeysuckle,Neroli,Bergamot","Jasmine,Ylang-Ylang,iris,Lily-of-the-Valley,Coriander,Rose,Lily,Geranium,Camellia",3.98,5,"3,404"
https://www.fragrantica.com/perfume/Givenchy/Very-Irresistible-for-men-34.html,Very Irresistible for men Givenchy ,Givenchy,for men,"woody,nutty,coffee,aromatic,green,warm spicy,fresh spicy,citrus","Very Irresistible for men  by  Givenchy  is a Oriental Woody fragrance for men.  Very Irresistible for men  was launched in 2005. Very Irresistible for men was created by Pierre Wargnye, Alain Astori, Carlos Benaim and Juliette Karagueuzoglou. Top notes are Mint and Grapefruit; middle notes are Coffee and Sesame; base notes are Hazelnut and Virginia Cedar. ","This woody, sensual fragrance for men is full of energy and vitality. This charming fragrance doesn’t go unnoticed, it attract with its originality and with a successful alliance of freshness and classic appeal. A fragrance for a man that gives off his magical aura, becoming totally and completely…irresistible. The main notes are: mint, cedar, grapefruit and egzotic wood. The nose behind its creation is Pierre Wargnye, 2005.","Alain Astori,Carlos Benaim,Juliette Karagueuzoglou,Pierre Wargnye","Mint,Grapefruit","Coffee,Sesame",4.15,5,"1,429"
https://www.fragrantica.com/perfume/Givenchy/Givenchy-pour-Homme-Blue-Label-38.html,Givenchy pour Homme Blue Label Givenchy ,Givenchy,for men,"fresh spicy,citrus,aromatic,woody,warm spicy,lavender,herbal","Givenchy pour Homme Blue Label  by  Givenchy  is a Woody Spicy fragrance for men.  Givenchy pour Homme Blue Label  was launched in 2004. Givenchy pour Homme Blue Label was created by Alberto Morillas and Ilias Ermenidis. Top notes are Grapefruit and Bergamot; middle notes are Pepper, Lavender, Cardamom and Artemisia; base notes are Cedar, Vetiver and Olibanum. ","This is a relaxing and carefree version of Givenchy pour Homme. It is a fresh and dynamic fragrance for an active man which appreciates freedom. The fragrance has preserved the elegance, but has gained a new rebellious note. The combination of woodsy notes has got a new intensity and accord due to fresh cocktail of grapefruit and bergamot and presence of hedione. This perfume, as well as Givenchy pour Homme, was created by Alberto Morillas and Ilias Ermenidis in 2004.","Alberto Morillas,Ilias Ermenidis","Grapefruit,Bergamot","Pepper,Lavender,Cardamom,Artemisia",3.90,5,"1,532"
https://www.fragrantica.com/perfume/Rochas/Femme-Rochas-28.html,Femme Rochas Rochas ,Rochas,for women,"warm spicy,fruity,sweet,woody,amber,mossy,earthy,powdery,leather,cinnamon","Femme Rochas  by  Rochas  is a Chypre Fruity fragrance for women.  Femme Rochas  was launched in 1944. The nose behind this fragrance is Edmond Roudnitska. Top notes are Plum, Peach, Cinnamon, Apricot, Brazilian Rosewood, Bergamot and Lemon; middle notes are Cloves, Carnation, Ylang-Ylang, Rosemary, Rose, iris and Jasmine; base notes are Oakmoss, Leather, Benzoin, Amber, Patchouli, Musk and Vanilla. ","Edmond Roudnitska made Femme Rochas in Paris during the War in 1943. Femme represents a real masterpiece with its warmth of a woman’s gentle skin and dense note of plum. The composition is based on the harmony of aldehides, fruit, wood, and musk notes. The dryness of chypre notes is softened by the purple plum.
The richness of tropical fruits is followed by the rich scent of sandal. Femme Rochas is a splendid perfume which is not aimed at every person, more at a femme fatale. The perfume was reconstructed in 1989 and has become lighter and more gourmand thanks to the peach note in harmony with plum.
The notes are: bergamot, peach, pear, rose, an immortal, jasmine, ylang-ylang, grey amber, musk, oakmoss and sandal. The lovely bottle recalls a woman's curves.",Edmond Roudnitska,"Plum,Peach,Cinnamon,Apricot,Brazilian Rosewood,Bergamot,Lemon","Cloves,Carnation,Ylang-Ylang,Rosemary,Rose,iris,Jasmine",4.10,5,"2,482"
https://www.fragrantica.com/perfume/Givenchy/Very-Irresistible-33.html,Very Irresistible Givenchy ,Givenchy,for women,"rose,floral,soft spicy,anis,fresh,citrus,aromatic","Very Irresistible  by  Givenchy  is a Floral Fruity fragrance for women.  Very Irresistible  was launched in 2003. Very Irresistible was created by Dominique Ropion, Sophie Labbe and Carlos Benaim. Top notes are Anise, Cassia and Lemon Verbena; middle notes are Rose, Peony and Magnolia; base note is Taif Rose. ","Irresistible, modern, floral fragrance. This incredibly feminine fragrance was created of five variances of roses. The opening note of anise, delicately-fresh, brings in an original modern nuance in the classical floral harmony. The sharp and piercing beauty of rose has become milder, even warm and comfortable. The face of the fragrance is charming Liv Tyler. The fragrance was created by Dominique Ropion, Sophie Labbe and Carlos Benaim in 2003.","Carlos Benaim,Dominique Ropion,Sophie Labbe","Anise,Cassia,Lemon Verbena","Rose,Peony,Magnolia",3.86,5,"5,419"
https://www.fragrantica.com/perfume/Divine/L-Ame-Soeur-41.html,L'Ame Soeur Divine ,Divine,for women,"aldehydic,rose,yellow floral,floral,fresh,amber,woody,sweet,white floral,soapy","L'Ame Soeur  by  Divine  is a Floral Aldehyde fragrance for women.  L'Ame Soeur  was launched in 2004. The nose behind this fragrance is Yann Vasnier. Top note is Aldehydes; middle notes are Bulgarian Rose, Ylang-Ylang and Jasmine; base notes are May Rose, Amber, Liatris and Vetiver. ","L'ame seour is an eternal marriage of noble flowers and aldehydes. 
 Bergamot, essence of jasmine, ylang-ylang from Comoro islands, Otto Bulgarian rose and rose de mai combine with ambergris and liatrix to celebrate the natural elsgance and innate sensuality of lame seour. Available in eau de parfum and pure perfume.",Yann Vasnier,Aldehydes,"Bulgarian Rose,Ylang-Ylang,Jasmine",4.23,5,137
